id,prediction,language,error
0,0,eu,
1,0,eu,
2,0,eu,
3,1,eu,
4,0,eu,
5,0,eu,
6,1,eu,
7,0,eu,
8,0,eu,
9,1,eu,
10,0,eu,
11,0,eu,
12,0,eu,
13,0,eu,
14,0,eu,
15,0,eu,
16,0,eu,
17,0,eu,
18,0,eu,
19,0,eu,
20,0,eu,
21,0,eu,
22,1,eu,
23,1,eu,
24,0,eu,
25,0,eu,
26,0,eu,
27,0,eu,
28,1,eu,
29,1,eu,
30,0,eu,
31,0,eu,
32,0,eu,
33,0,eu,
34,0,eu,
35,0,eu,
36,0,eu,
37,1,eu,
38,0,eu,
39,0,eu,
40,1,eu,
41,0,eu,
42,0,eu,
43,0,eu,
44,1,eu,
45,0,eu,
46,0,eu,
47,0,eu,
48,0,eu,
49,0,eu,
50,0,eu,
51,1,eu,
52,0,eu,
53,1,eu,
54,0,eu,
55,0,eu,
56,0,eu,
57,0,eu,
58,0,eu,
59,1,eu,
60,1,eu,
61,1,eu,
62,0,eu,
63,0,eu,
64,0,eu,
65,0,eu,
66,1,eu,
67,0,eu,
68,0,eu,
69,1,eu,
70,0,eu,
71,0,eu,
72,0,eu,
73,0,eu,
74,0,eu,
75,0,eu,
76,0,eu,
77,0,eu,
78,0,eu,
79,0,eu,
80,0,eu,
81,0,eu,
82,1,eu,
83,1,eu,
84,0,eu,
85,0,eu,
86,1,eu,
87,0,eu,
88,0,eu,
89,0,eu,
90,0,eu,
91,0,eu,
92,0,eu,
93,0,eu,
94,0,eu,
95,0,eu,
96,0,eu,
97,0,eu,
98,0,eu,
99,0,eu,
100,0,eu,
101,0,eu,
102,0,eu,
103,0,eu,
104,1,eu,
105,0,eu,
106,0,eu,
107,0,eu,
108,0,eu,
109,0,eu,
110,0,eu,
111,0,eu,
112,0,eu,
113,0,eu,
114,0,eu,
115,0,eu,
116,0,eu,
117,0,eu,
118,0,eu,
119,0,eu,
120,0,eu,
121,0,eu,
122,0,eu,
123,0,eu,
124,0,eu,
125,0,eu,
126,0,eu,
127,0,eu,
128,0,eu,
129,0,eu,
130,1,eu,
131,0,eu,
132,0,eu,
133,0,eu,
134,0,eu,
135,0,eu,
136,0,eu,
137,0,eu,
138,0,eu,
139,0,eu,
140,0,eu,
141,0,eu,
142,0,eu,
143,1,eu,
144,0,eu,
145,0,eu,
146,0,eu,
147,0,eu,
148,0,eu,
149,0,eu,
150,0,eu,
151,0,eu,
152,1,eu,
153,0,eu,
154,0,eu,
155,0,eu,
156,0,eu,
157,0,eu,
158,1,eu,
159,0,eu,
160,0,eu,
161,0,eu,
162,0,eu,
163,0,eu,
164,0,eu,
165,0,eu,
166,0,eu,
167,0,eu,
168,0,eu,
169,0,eu,
170,0,eu,
171,0,eu,
172,0,eu,
173,0,eu,
174,0,eu,
175,0,eu,
176,0,eu,
177,0,eu,
178,0,eu,
179,0,eu,
180,0,eu,
181,0,eu,
182,1,eu,
183,0,eu,
184,0,eu,
185,0,eu,
186,0,eu,
187,0,eu,
188,0,eu,
189,0,eu,
190,0,eu,
191,0,eu,
192,0,eu,
193,0,eu,
194,0,eu,
195,0,eu,
196,0,eu,
197,1,eu,
198,0,eu,
199,0,eu,
200,0,eu,
201,0,eu,
202,1,eu,
203,0,eu,
204,0,eu,
205,0,eu,
206,0,eu,
207,0,eu,
208,0,eu,
209,0,eu,
210,0,eu,
211,0,eu,
212,1,eu,
213,0,eu,
214,1,eu,
215,1,eu,
216,0,eu,
217,0,eu,
218,0,eu,
219,0,eu,
220,0,eu,
221,0,eu,
222,0,eu,
223,0,eu,
224,0,eu,
225,1,eu,
226,1,eu,
227,0,eu,
228,0,eu,
229,1,eu,
230,0,eu,
231,0,eu,
232,0,eu,
233,0,eu,
234,0,eu,
235,0,eu,
236,0,eu,
237,0,eu,
238,0,eu,
239,0,eu,
240,0,eu,
241,0,eu,
242,0,eu,
243,1,eu,
244,1,eu,
245,0,eu,
246,0,eu,
247,0,eu,
248,1,eu,
249,0,eu,
250,0,eu,
251,0,eu,
252,0,eu,
253,1,eu,
254,0,eu,
255,0,eu,
256,0,eu,
257,0,eu,
258,0,eu,
259,0,eu,
260,0,eu,
261,0,eu,
262,0,eu,
263,0,eu,
264,1,eu,
265,1,eu,
266,0,eu,
267,0,eu,
268,0,eu,
269,0,eu,
270,0,eu,
271,1,eu,
272,0,eu,
273,0,eu,
274,0,eu,
275,0,eu,
276,0,eu,
277,0,eu,
278,0,eu,
279,0,eu,
280,0,eu,
281,0,eu,
282,0,eu,
283,0,eu,
284,0,eu,
285,0,eu,
286,0,eu,
287,0,eu,
288,0,eu,
289,0,eu,
290,0,eu,
291,0,eu,
292,0,eu,
293,0,eu,
294,0,eu,
295,1,eu,
296,0,eu,
297,0,eu,
298,1,eu,
299,0,eu,
300,0,eu,
301,0,eu,
302,0,eu,
303,0,eu,
304,0,eu,
305,0,eu,
306,0,eu,
307,0,eu,
308,0,eu,
309,0,eu,
310,0,eu,
311,0,eu,
312,0,eu,
313,0,eu,
314,0,eu,
315,0,eu,
316,0,eu,
317,0,eu,
318,0,eu,
319,0,eu,
320,0,eu,
321,0,eu,
322,0,eu,
323,0,eu,
324,0,eu,
325,0,eu,
326,0,eu,
327,1,eu,
328,0,eu,
329,0,eu,
330,0,eu,
331,0,eu,
332,0,eu,
333,0,eu,
334,0,eu,
335,1,eu,
336,0,eu,
337,0,eu,
338,0,eu,
339,0,eu,
340,0,eu,
341,0,eu,
342,0,eu,
343,0,eu,
344,0,eu,
345,0,eu,
346,0,eu,
347,0,eu,
348,0,eu,
349,0,eu,
350,0,eu,
351,0,eu,
352,0,eu,
353,1,eu,
354,1,eu,
355,0,eu,
356,0,eu,
357,0,eu,
358,0,eu,
359,0,eu,
360,0,eu,
361,0,eu,
362,0,eu,
363,0,eu,
364,0,eu,
365,0,eu,
366,0,eu,
367,0,eu,
368,0,eu,
369,0,eu,
370,1,eu,
371,0,eu,
372,0,eu,
373,1,eu,
374,0,eu,
375,0,eu,
376,0,eu,
377,0,eu,
378,0,eu,
379,1,eu,
380,0,eu,
381,0,eu,
382,0,eu,
383,0,eu,
384,0,eu,
385,0,eu,
386,0,eu,
387,0,eu,
388,0,eu,
389,1,eu,
390,1,eu,
391,0,eu,
392,1,eu,
393,0,eu,
394,0,eu,
395,0,eu,
396,0,eu,
397,0,eu,
398,0,eu,
399,0,eu,
400,1,eu,
401,0,eu,
402,1,eu,
403,0,eu,
404,1,eu,
405,0,eu,
406,0,eu,
407,0,eu,
408,0,eu,
409,0,eu,
410,0,eu,
411,0,eu,
412,0,eu,
413,0,eu,
414,0,eu,
415,0,eu,
416,1,eu,
417,0,eu,
418,0,eu,
419,0,eu,
420,0,eu,
421,0,eu,
422,0,eu,
423,0,eu,
424,0,eu,
425,0,eu,
426,0,eu,
427,0,eu,
428,0,eu,
429,0,eu,
430,1,eu,
431,0,eu,
432,0,eu,
433,0,eu,
434,0,eu,
435,0,eu,
436,0,eu,
437,0,eu,
438,0,eu,
439,0,eu,
440,0,eu,
441,0,eu,
442,0,eu,
443,0,eu,
444,0,eu,
445,0,eu,
446,0,eu,
447,0,eu,
448,0,eu,
449,0,eu,
450,0,eu,
451,0,eu,
452,0,eu,
453,0,eu,
454,0,eu,
455,0,eu,
456,0,eu,
457,0,eu,
458,0,eu,
459,0,eu,
460,0,eu,
461,0,eu,
462,0,eu,
463,0,eu,
464,0,eu,
465,0,eu,
466,1,eu,
467,0,eu,
468,0,eu,
469,0,eu,
470,0,eu,
471,1,eu,
472,0,eu,
473,0,eu,
474,1,eu,
475,0,eu,
476,0,eu,
477,0,eu,
478,0,eu,
479,0,eu,
480,0,eu,
481,0,eu,
482,0,eu,
483,0,eu,
484,0,eu,
485,0,eu,
486,0,eu,
487,0,eu,
488,0,eu,
489,0,eu,
490,0,eu,
491,0,eu,
492,0,eu,
493,0,eu,
494,0,eu,
495,0,eu,
496,0,eu,
497,0,eu,
498,0,eu,
499,0,eu,
500,0,eu,
501,0,eu,
502,0,eu,
503,1,eu,
504,0,eu,
505,0,eu,
506,0,eu,
507,1,eu,
508,0,eu,
509,0,eu,
510,0,eu,
511,1,eu,
512,0,eu,
513,0,eu,
514,0,eu,
515,0,eu,
516,0,eu,
517,0,eu,
518,0,eu,
519,0,eu,
520,0,eu,
521,0,eu,
522,0,eu,
523,0,eu,
524,0,eu,
525,1,eu,
526,0,eu,
527,0,eu,
528,0,eu,
529,0,eu,
530,0,eu,
531,0,eu,
532,1,eu,
533,0,eu,
534,0,eu,
535,0,eu,
536,0,eu,
537,0,eu,
538,0,eu,
539,0,eu,
540,0,eu,
541,0,eu,
542,0,eu,
543,0,eu,
544,0,eu,
545,0,eu,
546,0,eu,
547,0,eu,
548,1,eu,
549,1,eu,
550,0,eu,
551,1,eu,
552,0,eu,
553,0,eu,
554,0,eu,
555,0,eu,
556,0,eu,
557,0,eu,
558,0,eu,
559,1,eu,
560,0,eu,
561,1,eu,
562,0,eu,
563,0,eu,
564,0,eu,
565,1,eu,
566,0,eu,
567,0,eu,
568,0,eu,
569,0,eu,
570,1,eu,
571,0,eu,
572,0,eu,
573,1,eu,
574,0,eu,
575,0,eu,
576,0,eu,
577,0,eu,
578,0,eu,
579,0,eu,
580,0,eu,
581,0,eu,
582,0,eu,
583,0,eu,
584,0,eu,
585,0,eu,
586,0,eu,
587,0,eu,
588,0,eu,
589,0,eu,
590,0,eu,
591,0,eu,
592,0,eu,
593,0,eu,
594,0,eu,
595,0,eu,
596,0,eu,
597,0,eu,
598,0,eu,
599,0,eu,
600,1,eu,
601,0,eu,
602,0,eu,
603,0,eu,
604,0,eu,
605,0,eu,
606,0,eu,
607,0,eu,
608,0,eu,
609,0,eu,
610,0,eu,
611,0,eu,
612,0,eu,
613,0,eu,
614,0,eu,
615,0,eu,
616,0,eu,
617,0,eu,
618,0,eu,
619,0,eu,
620,0,eu,
621,0,eu,
622,0,eu,
623,0,eu,
624,0,eu,
625,0,eu,
626,0,eu,
627,0,eu,
628,0,eu,
629,0,eu,
630,0,eu,
631,0,eu,
632,1,eu,
633,0,eu,
634,0,eu,
635,1,eu,
636,0,eu,
637,0,eu,
638,0,eu,
639,0,eu,
640,0,eu,
641,0,eu,
642,0,eu,
643,0,eu,
644,0,eu,
645,0,eu,
646,0,eu,
647,0,eu,
648,0,eu,
649,0,eu,
650,0,eu,
651,0,eu,
652,1,eu,
653,0,eu,
654,0,eu,
655,0,eu,
656,0,eu,
657,0,eu,
658,0,eu,
659,0,eu,
660,0,eu,
661,0,eu,
662,1,eu,
663,0,eu,
664,0,eu,
665,0,eu,
666,0,eu,
667,0,eu,
668,1,eu,
669,0,eu,
670,0,eu,
671,1,eu,
672,0,eu,
673,0,eu,
674,0,eu,
675,0,eu,
676,0,eu,
677,0,eu,
678,0,eu,
679,0,eu,
680,0,eu,
681,1,eu,
682,0,eu,
683,1,eu,
684,0,eu,
685,0,eu,
686,1,eu,
687,1,eu,
688,0,eu,
689,0,eu,
690,0,eu,
691,0,eu,
692,0,eu,
693,0,eu,
694,0,eu,
695,1,eu,
696,0,eu,
697,0,eu,
698,0,eu,
699,0,eu,
700,0,eu,
701,0,eu,
702,0,eu,
703,0,eu,
704,0,eu,
705,0,eu,
706,0,eu,
707,0,eu,
708,0,eu,
709,0,eu,
710,0,eu,
711,0,eu,
712,0,eu,
713,0,eu,
714,0,eu,
715,0,eu,
716,0,eu,
717,0,eu,
718,0,eu,
719,0,eu,
720,0,eu,
721,0,eu,
722,0,eu,
723,0,eu,
724,0,eu,
725,0,eu,
726,0,eu,
727,0,eu,
728,1,eu,
729,0,eu,
730,0,eu,
731,0,eu,
732,0,eu,
733,0,eu,
734,0,eu,
735,0,eu,
736,1,eu,
737,0,eu,
738,0,eu,
739,0,eu,
740,0,eu,
741,0,eu,
742,0,eu,
743,0,eu,
744,0,eu,
745,0,eu,
746,0,eu,
747,0,eu,
748,0,eu,
