id,prediction,language,error
0,0,he,
1,0,he,
2,0,he,
3,0,he,
4,0,he,
5,0,he,
6,0,he,
7,1,he,
8,0,he,
9,0,he,
10,0,he,
11,0,he,
12,0,he,
13,1,he,
14,0,he,
15,1,he,
16,0,he,
17,0,he,
18,0,he,
19,0,he,
20,0,he,
21,0,he,
22,0,he,
23,0,he,
24,0,he,
25,1,he,
26,0,he,
27,0,he,
28,0,he,
29,0,he,
30,0,he,
31,0,he,
32,0,he,
33,0,he,
34,0,he,
35,0,he,
36,0,he,
37,0,he,
38,0,he,
39,0,he,
40,0,he,
41,0,he,
42,0,he,
43,0,he,
44,0,he,
45,0,he,
46,0,he,
47,0,he,
48,0,he,
49,0,he,
50,0,he,
51,0,he,
52,0,he,
53,1,he,
54,0,he,
55,1,he,
56,1,he,
57,0,he,
58,1,he,
59,1,he,
60,0,he,
61,0,he,
62,1,he,
63,1,he,
64,0,he,
65,0,he,
66,1,he,
67,1,he,
68,0,he,
69,0,he,
70,0,he,
71,0,he,
72,0,he,
73,0,he,
74,0,he,
75,1,he,
76,0,he,
77,0,he,
78,0,he,
79,1,he,
80,0,he,
81,0,he,
82,1,he,
83,1,he,
84,1,he,
85,0,he,
86,0,he,
87,0,he,
88,1,he,
89,0,he,
90,0,he,
91,0,he,
92,0,he,
93,0,he,
94,0,he,
95,0,he,
96,0,he,
97,0,he,
98,0,he,
99,1,he,
100,1,he,
101,0,he,
102,0,he,
103,0,he,
104,0,he,
105,0,he,
106,0,he,
107,1,he,
108,1,he,
109,1,he,
110,1,he,
111,0,he,
112,0,he,
113,1,he,
114,0,he,
115,1,he,
116,0,he,
117,0,he,
118,1,he,
119,0,he,
120,0,he,
121,0,he,
122,0,he,
123,0,he,
124,0,he,
125,0,he,
126,0,he,
127,0,he,
128,0,he,
129,0,he,
130,0,he,
131,0,he,
132,1,he,
133,0,he,
134,0,he,
135,0,he,
136,0,he,
137,0,he,
138,0,he,
139,0,he,
140,0,he,
141,0,he,
142,1,he,
143,0,he,
144,1,he,
145,0,he,
146,0,he,
147,0,he,
148,0,he,
149,0,he,
150,0,he,
151,0,he,
152,0,he,
153,0,he,
