id,prediction,language,error
0,0,tr,
1,1,tr,
2,0,tr,
3,0,tr,
4,0,tr,
5,0,tr,
6,0,tr,
7,0,tr,
8,0,tr,
9,0,tr,
10,0,tr,
11,0,tr,
12,0,tr,
13,0,tr,
14,0,tr,
15,0,tr,
16,0,tr,
17,0,tr,
18,0,tr,
19,0,tr,
20,0,tr,
21,0,tr,
22,0,tr,
23,0,tr,
24,0,tr,
25,0,tr,
26,0,tr,
27,0,tr,
28,0,tr,
29,0,tr,
30,0,tr,
31,0,tr,
32,0,tr,
33,0,tr,
34,0,tr,
35,0,tr,
36,0,tr,
37,0,tr,
38,0,tr,
39,0,tr,
40,0,tr,
41,0,tr,
42,0,tr,
43,0,tr,
44,0,tr,
45,0,tr,
46,0,tr,
47,0,tr,
48,0,tr,
49,0,tr,
50,0,tr,
51,0,tr,
52,0,tr,
53,0,tr,
54,0,tr,
55,0,tr,
56,0,tr,
57,0,tr,
58,0,tr,
59,0,tr,
60,0,tr,
61,0,tr,
62,0,tr,
63,0,tr,
64,0,tr,
65,0,tr,
66,0,tr,
67,0,tr,
68,0,tr,
69,0,tr,
70,0,tr,
71,0,tr,
72,0,tr,
73,0,tr,
74,0,tr,
75,0,tr,
76,0,tr,
77,0,tr,
78,0,tr,
79,0,tr,
80,0,tr,
81,0,tr,
82,0,tr,
83,0,tr,
84,0,tr,
85,0,tr,
86,0,tr,
87,0,tr,
88,0,tr,
89,0,tr,
90,0,tr,
91,0,tr,
92,0,tr,
93,0,tr,
94,0,tr,
95,0,tr,
96,0,tr,
97,0,tr,
98,0,tr,
99,0,tr,
100,0,tr,
101,0,tr,
102,0,tr,
103,0,tr,
104,0,tr,
105,0,tr,
106,0,tr,
107,0,tr,
108,0,tr,
109,0,tr,
110,0,tr,
111,0,tr,
112,0,tr,
113,0,tr,
114,0,tr,
115,0,tr,
116,0,tr,
117,0,tr,
118,0,tr,
119,0,tr,
120,0,tr,
121,0,tr,
122,0,tr,
123,0,tr,
124,1,tr,
125,0,tr,
126,0,tr,
127,0,tr,
128,0,tr,
129,0,tr,
130,0,tr,
131,0,tr,
132,0,tr,
133,0,tr,
134,0,tr,
135,0,tr,
136,0,tr,
137,0,tr,
138,0,tr,
139,0,tr,
140,0,tr,
141,0,tr,
142,0,tr,
143,0,tr,
144,0,tr,
145,0,tr,
146,0,tr,
147,0,tr,
148,0,tr,
149,0,tr,
150,0,tr,
151,0,tr,
152,0,tr,
153,0,tr,
154,0,tr,
155,0,tr,
156,0,tr,
157,0,tr,
158,0,tr,
159,0,tr,
160,0,tr,
161,0,tr,
162,0,tr,
163,0,tr,
164,0,tr,
165,0,tr,
166,0,tr,
167,0,tr,
168,0,tr,
169,0,tr,
170,0,tr,
171,0,tr,
172,0,tr,
173,0,tr,
174,0,tr,
175,0,tr,
176,0,tr,
177,0,tr,
178,0,tr,
179,0,tr,
180,0,tr,
181,1,tr,
182,0,tr,
183,0,tr,
184,0,tr,
185,0,tr,
186,0,tr,
187,0,tr,
188,0,tr,
189,0,tr,
190,0,tr,
191,1,tr,
192,0,tr,
193,0,tr,
194,0,tr,
195,0,tr,
196,0,tr,
197,0,tr,
198,1,tr,
199,0,tr,
200,0,tr,
201,0,tr,
202,0,tr,
203,0,tr,
204,0,tr,
205,0,tr,
206,0,tr,
207,0,tr,
208,0,tr,
209,0,tr,
210,0,tr,
211,0,tr,
212,0,tr,
213,0,tr,
214,0,tr,
215,0,tr,
216,0,tr,
217,0,tr,
218,0,tr,
219,0,tr,
220,0,tr,
221,0,tr,
222,0,tr,
223,0,tr,
224,0,tr,
225,0,tr,
226,0,tr,
227,0,tr,
228,0,tr,
229,0,tr,
230,1,tr,
231,0,tr,
232,0,tr,
233,0,tr,
234,0,tr,
235,0,tr,
236,0,tr,
237,0,tr,
238,0,tr,
239,0,tr,
240,0,tr,
241,0,tr,
242,0,tr,
243,0,tr,
244,0,tr,
245,0,tr,
246,0,tr,
247,0,tr,
248,1,tr,
249,0,tr,
250,0,tr,
251,0,tr,
252,0,tr,
253,0,tr,
254,0,tr,
255,1,tr,
256,0,tr,
257,0,tr,
258,0,tr,
259,0,tr,
